Title,Description
冷鲜禽全面开卖前百姓还有不少疑问,7月1日起，杭州主城区农贸市场将全面供应冷鲜禽。目前，多家农贸市场冷鲜禽商户所卖的家禽并不能保证全程在0-4℃，运输途中的冷链掉“链”仍是最突出的问题。市民已逐渐接受冷鲜禽，现在更关心货源和对质量的把关。
香港官员称房价难逃一跌：升得越快就跌得越惨,市场普遍认为美国退市将成为压垮香港楼市的最后一根稻草。香港财经事务及库务局局长陈家强坦言香港楼市风险最大，“香港楼价经历了不健康的暴涨。美国退市已箭在弦上，利率上升将导致资产重新定价，楼价届时将不可避免地下跌”。
三季报透露三亮点将引领A股行情向纵深发展,今年前三季度上市公司交出的这份成绩单不算靓丽，其中的一些亮点可能会成为引领A股市场行情向纵深发展的重要线索。“微刺激、强改革”的经济体制改革思路贯穿前三季度，其中以券商、银行和新兴产业的表现最为抢眼。
袁隆平力挺转基因称对其不能一概而论,84岁高龄的“中国杂交水稻之父”袁隆平近日接受媒体采访时表示，他正在研究“转基因水稻”，并力挺“转基因”，称其为“今后的发展方向”。袁隆平说，“我们也不能听到转基因就害怕，要谨慎对待转基因，而很多转基因还是好的”。
东阿阿胶四年提价181%每公斤超千元,从2010年至2013年10月东阿阿胶价格上调6次，如今每公斤已涨至1098元。其中五次为提高出厂价，一次为提高零售指导价。东阿阿胶相关人士表示，调价的原因，主要是阿胶的价值所决定的，同时也是保护阿胶产业，涵养整个产业链的客观需求。
公益信托摸索中起舞多家公司以“类公益”模式切入,今年以来已有多家信托公司试水公益类信托计划。近日，紫金信托举行了紫金·厚德4号公益信托计划的启动仪式。而今年下半年以来已有国民信托、湖南信托、国元信托、万向信托等多家信托公司推出纯公益性质的信托计划。
2013年中概股行情回暖四大事件备受关注,进入2013年之后，中概股涌现出欢聚时代、奇虎360等一大批牛股。中概股市场哪些事件值得关注？一、收购私有中概股成热议主题；二、遭浑水做空，网秦股价腰斩；三、互联网领域重大投资、收购事件频发；四、7家中国公司赴美IPO。
旅美学姐教你如何用叫花鸡扬我国威,外国友人一手捏着蒜说这鸡真香，叫什么名字？我说这道菜是叫花鸡，Homelesschicken。当时戳中老外跪点：你们中国的homeless简直XX是艺术家，我们这儿的homeless一天到晚光知道喝酒。
淮夷：皮克提教你：赚多少才能跑赢富二代,皮克提在《21世纪资本论》中提出，收入分配日益偏向持有资本的人，而不利于出卖劳力的人。目前中国实际GDP在7%左右，所以，你的可投资资产收益率需要超过10%才算及格，否则还是在让富二代占便宜，吃豆腐。
著名中国文学评论家夏志清去世,著名中国文学评论家夏志清29日在美去世。有评论认为，夏先生1961年出版的英语著作《中国现代小说史》是中国现代小说批评的拓荒巨著，不亚于一次文学革命。此书之后，中国现代文学研究才进入西方高校。在夏志清看来，《金锁记》是中国文学史上最好的小说。
酒类电商大战双十一酒仙网日销售达2.2亿元,虽然最终距离3亿元的销售目标仍有8000万元的差距，但此次双十一斩获约2.2亿元的销售收入，还是使酒仙网销售额较去年双十一的6000万元，同比增长了360%。据悉，在所有酒类电商双十一销售中，目前，酒仙网名列第一。
137万人报考最热职位9411∶1,据央视报道，今年共有近137万人报考并通过审核，总竞争比为65.6∶1。今年最热门职位当属国家统计局重庆调查总队合川调查队业务科室科员，竞争比达9411∶1，为近5年国考最热门职位。与此同时，共有146个职位无人报考。
发改委副主任：台湾降油价和大陆没可比性,2月25日，大陆地区成品油价格出现年内首次上调，但我国台湾地区的成品油价格却在同日下调。发改委副主任朱之鑫表示，“不能以一个地区来和我们国家整个做对比，欧洲也在提，你为什么不说欧洲也和我们一样呢？”
高鸿股份涨停背后子公司联姻支付宝,11月28日，受子公司北京高阳捷迅信息技术有限公司与支付宝针对充值中心支付服务签署《合作协议》的消息刺激，高鸿股份于当日实现涨停，股价报收于11.25元/股。高阳捷迅与支付宝联合推出的服务于2013年11月26日正式开通。
广州恒大4球大胜全北现代,在2012年亚冠联赛首轮一场焦点战中，广州恒大队依靠三个外援的5粒进球，客场以5：1狂扫全北现代队。该比分是中国国家队和俱乐部队在对等层面上对韩国队取得的最大胜利。李章洙赛后表示，这场比赛憋着一股劲儿来打，不仅仅是为了恒大，而是为了中国足球
新华视点：反腐新词揭示出多少种官场灰色文化？,“圈子文化”：“山头主义”、架“天线”、搞“勾兑”；“面子文化”：“能人腐败”折射唯GDP政绩观；“票子文化”：“一家两制”“靠山吃山”给腐败“穿马甲”……有专家称，这些接地气的反腐新词，不失为深化反腐，加强干部管理的着力点。
王文银：空降世界500强的神秘新贵,7月8日晚，2013年《财富》世界500强企业排行榜发布，共计95家中国企业入围，正威集团首次进入世界500强榜单，荣列第387位，成为新上榜的16家中国企业中，仅有的两家民营企业之一。2000年正威集团资产规模只有10亿，2010年已经达到1000亿元。
上半年全国卖地1.7万亿全年望破3万亿大关,国土部门统计显示，今年上半年全国房地产用地供应8.24万公顷，创历史新高。全国土地出让合同价款1.7万亿元，增幅达77.3%。31个省份中27个推地量均高于去年同期，增幅较大的包括北京市(267%)、浙江省(121%)、江西省(99%)。
这么朗诵我的诗歌我的心都碎了,昨天，“诗歌来到美术馆”活动中，一位诗歌爱好者主动要求朗诵诗人多多的诗歌——字正腔圆，感情充沛。诗人却把他骂了一顿：“这就是舞台腔，是万人一调，我的心都碎了，朗诵要根据情感和呼吸节奏来断句，而不是呆板的根据标点、段落。”
刘学伟：亲历巴黎反恐游行——奥朗德在哪？,奥朗德等人手挽手在大街上仅前行了数百米，拍足照片电视片后，就一起打道回府了。上次打赢世界杯，游行中北非移民比法国人还多，这回看上去都团结在法国旗下，但北非移民“改旗易帜”究竟是好事，还是埋下了更大的隐忧呢？
李克强足迹勾勒中国政府五大政策重心,山东、湖南、内蒙、重庆、沈阳、陕西，2014年以来，中国总理李克强先后前往多地调研。中国政府网近日勾勒出李克强总理今年以来的足迹，并整理出中国政府的五大政策重心。
护士瘫痪门：司法独立的抗压测试,如今，我们等来了南京小护士“瘫痪痊愈”、被鉴定为轻微伤的消息。且不说“瘫痪造假”一说能否成立，既然明知很多瘫痪是可逆的，个别医学界人士言之凿凿要求据此拒人定罪，是否有要挟司法之嫌？而司法机关在此事中步步进退失据、动辄得咎。
老干妈成资本市场绝缘体：拒绝上市政府找也不行,2013年，老干妈全球销售额超过37亿元人民币。很难想象，这艘只做辣椒酱的调味品业“航母”，是个资本市场绝缘体。“不贷款、不融资、不上市”，已然成为老干妈的标签之一，也让一众机构垂涎三尺却只能望而却步。
2015年期待A股继续光荣绽放,今天是A股市场在2014年的最后一个交易日。从高层及监管层最近释放的信号来看，2015年的A股市场将值得期待。依法治市，改革创新，健康发展，这将是明年证券市场的主基调。2015年，期待A股市场继续光荣绽放！
浙江18日新增3例人感染H7N9禽流感病例,省卫生计生委1月18日通报，我省新增3例人感染H7N9禽流感病例。患者肖某某，男，35岁，农民，宁波慈溪市人；患者李某某，女，72岁，退休，杭州滨江区人；患者钟某某，男，69岁，农民，绍兴袍江新区人。
老外眼中的中国城墙：从防御工事转变为东方美学景观,城墙是中国古代城市的重要标志，和美国医生爱德华·胡美一样，历朝历代怀着不同目的来华的西方人中，总会有人注意到中国的城墙，并留下各种评论，以及珍贵的图像资料。上海大学博物馆馆长陶飞亚说：“城墙承载着一个国家的过往，可谓一个文明的脸面。”
安倍参拜，美国为何失望,如果美国赞同安倍参拜靖国神社，就等于赞同为日本军国主义翻案招魂，美国在二战后获得的巨大道义声誉将严重受损，并动摇其国际秩序中发挥领导作用的基础。其二，安倍参拜加剧了韩日、中日关系和东亚局势的紧张，干扰了美国的战略意图，必然令美国失望。
中共十八届二中全会将于2月26日至28日召开,中共中央政治局23日召开会议，确定2月26日至28日将在北京召开中共第十八届中央委员会第二次全体会议。并确定《国务院机构改革和职能转变方案(草案)》和国家机构领导人员和政协领导人员建议人选，将作为26日召开的二中全会议题。
中美元首夫人展开柔性外交,米歇尔此次访华创造了两个第一次：作为国家主席夫人向他国元首夫人发出访华邀请，彭丽媛是中国第一人；作为第一夫人单独访华，米歇尔也是中美建交35年来的第一人。在两位夫人的惊艳亮相中，今年中美外交的大戏正式展开。
文学的真实不能违背内心的真实,56岁的阎连科，去年终于在国内出版了一部长篇小说《炸裂志》，这对他来说是一个安慰。昨天，阎连科在演讲中说，无论走到哪里，无论是国外还是国内，总被介绍成争议最多的作家，这让他很尴尬。同时，他的作品也最难在国内出版。
当改革改到我们自己头上,人们为什么如此依恋“编制”？是因为改革不彻底，人们还有侥幸心理，还想着退休之后那一杯羹。不少人坚持有编制才有安全感，比起眼前的收益，那只铁饭碗似乎更有吸引力。但“编制”绝非什么终身保障，大刀阔斧的改革，那些禁区也终将被一个个突破。
答案很邪恶：为什么女巫都爱骑扫把,这事得从面包说起。在欧洲中世纪及文艺复兴时期，大部分面包都是用黑麦做的。而黑麦和类黑麦植物容易滋生麦角菌，人若大量食用将会致命。不过，适量的麦角菌则是有效的迷幻剂。
美报:中国学生太多美教师恶补如何叫对名,美国《华尔街日报》网站8月22日称，近日，美国艾奥瓦大学蒂皮商学院的教职员工正在学习如何欢迎即将入学的中国学生，即正确叫出他们的名字。美国大学十分关注汉语发音，因为如今在美国，中国是国际学生第一来源国。
玻璃期货上市窗口临近最快7月上旬郑商所挂牌上市,目前，玻璃期货合约细则及相关草案已相继浮出水面。据业内人士透露，玻璃期货已通过证监会的审核，郑商所也在加快推进对会员单位的相关培训工作进程。根据公布的玻璃期货合约细则计算，交易一手玻璃期货不超过4000元。
洪晃：大人打了喷嚏，孩子就感冒了,上周，我不由想起薄瓜瓜。他爸爸会给他打预防针吗？他知道会发生什么事情吗？他身边的美国人会劝他留在美国吗？他会留下吗？那些势利眼的美国大学还会继续给他全额奖学金吗？至少，不会有批斗大会了。这也算进步吧。
学者型总理夫人为中非人文交流架起桥梁,随着李克强总理夫人程虹非洲行的首度露面，美国《华尔街日报》称她为“学者范儿的第二夫人”。在展现其身为总理妻子的身份的同时，程虹更向外界展现了其大学教授智慧的一面，这既全面展现中国的国家形象，也促进了与到访国之间的交流。
土地出让金专项审计风暴全面摸清地方财政家底,继2013年全面审计地方债务后，首次专门针对土地出让金的专项审计已经在全国铺开。据悉，截至2013年6月底，全国各级政府负有偿还责任的债务20.7亿元，其中，截止到2012年底，承诺以土地出让收入偿还的债务余额3.5亿元，占比16.9%。
樊纲称中国经济已经软着陆地产投资会强于去年,经济学家樊纲认为，过热导致的一些问题被清理到了一定程度，中国经济正在软着陆。政府批的一些项目真正起作用是在2013年，地方基础设施项目逐步也在恢复，中央财政的一些拨款也都在恢复。所以房地产投资肯定比2012年要好。
雾霾凶猛宅着静等周一冷空气吧,昨天的天空不仅灰蒙蒙的，而且感觉“尘土飞扬”。建筑物全都在云里雾里，整座城市暗淡无光。打开微博和朋友圈，朋友们缤纷的生活琐事看不见了，几乎所有人都在“晒”口罩，抱怨雾霾。冷空气下周一到，上午开始影响杭州。
叙利亚同意“交出化武换和平”美方称暂停打击,俄建议叙立即交出全部化武，由国际社会控制；奥巴马称若如此愿暂停军事打击；中方支持俄建议。“我们已经同意（这个建议），我们的出发点是，它将使美国对我国的侵略变得站不住脚。”——叙利亚外长穆阿利姆说。
安徽一乡镇负责人：今年形势紧送礼方法会更隐蔽,中纪委近期发出通知，要求坚决刹住中秋、国庆两节送礼吃喝风，并公布举报电话。作为安徽一乡镇站所的负责人，李林(化名)“去年中秋节送出去3万块钱礼，今年只送了1万块。”李林说，今年形势紧，送礼范围小了，方法更隐蔽了。
煤价上涨恐难持续或将削弱煤企成长性,由于限产政策执行到位，1月份-9月份煤炭产量已经有所下降，煤炭生产十年来首现负增长，预计四季度产量将继续下降。分析师认为，调控产能的力度进一步加大，这对煤炭行业是比较有利的。但是，煤炭企业的成长性将进一步被削弱。
川化股份四高管集体辞职控股股东大手笔抛售股票,川化股份近日发布公告称，公司董事长、总经理、董秘、财务负责人集体辞职。雪上加霜的是，川化股份控股股东四川化工控股（集团）有限责任公司从12月18日开始，通过多次减持，共减持公司2500万股股票，套现8156万元左右。
西宁特钢定增失败股价连续涨停存悬疑,西宁特钢此前因筹划重大资产重组宣布停牌，而近一个月后公司复牌，复牌当日西宁特钢一字涨停。西宁特钢股价收于4.06元，再次涨停。西宁特钢股价连续涨停可能是因为其军工产业带来的利好，不过其股价在未来难以保证持续有如此表现。
任志强不服万科称华远净资产收益率更高,任志强表示，对于华远来说，在冲击百亿元销售额的同时，也更注重对股东的回报率和企业安全性指标。如其所述，除了去年，华远近年来的净利收益一直高于万科。而万科总裁郁亮曾表示，对股东来说，最重要的指标是净资产收益率而非利润率。
部分地区十二五GDP目标难完成：下调或成定局,尽管目前直接提出调整“十二五”GDP目标的省份并不多，但是“十二五”指标难以完成，已经成为定局，未来下调已成为定局。在大部分省市GDP目标未完成时，全国所有省份均有一些民生指标未有完成，这包括城镇居民收入增速未与GDP同步。
忽悠哈佛——赴美留学申请诚信问题调查,在美国最顶级的“常春藤”盟校，“中国留学生因造假被退学的情况每年都在发生”。一位美国名校招生办负责人告诉记者，令他“难以置信”的是，美国西海岸一所名校一年内“劝退”7名中国留学生，其中一半“涉嫌申请材料造假”。南方周末
开工不足融资难珠三角中小企业被动歇夏,由于当前国际国内需求疲软，大量中小企业面临订单不足困局，再加上劳动力成本上升、融资渠道不畅等压力，珠三角不少中小企业被迫停工或半停工，处于歇夏状态，部分抗压能力不强的小厂不得不关闭。“东莞很多中小企业的处境都非常糟糕”
魏衡：如何评价电影《智取威虎山》？,徐克找到了神剧的正确打开方式，让天马行空的想象力和一本正经的样板戏，合情合理老少皆宜地结合在一起。这就是好导演和抗日神剧垃圾导演的差距。只是一步之遥，却是大多数导演终生不可跨越的鸿沟。
反复套利放大杠杆暗藏风险,有人的地方就有江湖，有生意的地方就有黄牛。近日，黄牛党盯上了P2P平台。在高收益率诱惑下，P2P网站官方发布的借款标的变成抢手货，几乎要靠秒杀、排队才能获得投资机会，于是黄牛党诞生了。
现代快报多媒体数字报刊平台,7月起正式实施的《南京市收养子女家庭评估实施细则（试行）》，对收养申请人的调查评估内容有十大项。除对收养人的婚姻状况、道德品行格外关注，离婚超过两次申请收养孩子会受影响。
7年不懈成炒股老手七喜控股炒股票也炒基金,主营业务盈利能力遭遇危机，七喜控股多年沉溺于炒股。公司今年的三季报显示，截止9月30日，公司持有的股票有亨通光电、时代出版、东华软件、乐普医疗等7家，以及一基金——广发理财5号，上述证券投资额总计2445万元。
张国宝回顾十年电改（上）：江泽民曾用英语要求妥协,张国宝回顾十年电改：江泽民曾用英语要求妥协|电改碰到了很大的阻力，电力部门和其他部门的一些同志对厂网分开，还要拆分电网觉得挺心疼，难以接受。高层也有不同看法，有主张“一张网”的，也有主张“多张网”的，电改到了具体方案设计...
苏力登陆福建吹散申城高温,昨晚10时43分，上海中心气象台发布大风蓝色预警，预计昨天半夜到今天白天将出现阵风8级的偏南大风，今天还将有短时阵雨。不过，从明天起，“苏力”远去，新一轮高温又将“卷土重来”，下周一至周四的最高气温预计天天可达36℃～37℃。
获官方扶持计时驾校再增2家,计时付费、先学车后付钱、一人一车、自由选择学车时段和教练，上海近期又有2家驾校加入计时培训试点范围。安亭驾校表示，收费标准为非高峰时段130元/小时，高峰时段150元/小时。计时培训的学车费用比传统模式至少便宜1千元，考试通过率也远高于传统模式。
民政部：促进教育住房保障等社区服务向农民工覆盖,大多数外出农民工虽然户籍在农村，但长期在城市就业，在社区生活，希望能平等享有城市建设和发展成果。民政部近日出台“意见”，要按照社区基本公共服务均等化的要求，将就业、卫生、保障、教育等社区服务项目逐步向农民工覆盖
主城区今起施行新停车收费标准怎么停更划算有技巧,今天开始，杭州新的停车收费标准正式施行。新标准对核心区域、一级区域、二级区域作了重新划分。与之前相比，新标准停车时间超过1小时，停车费大涨。虽然涨价了，但是，只要车主掌握好停车的一些技巧，还是可以省下不少的费用。
调整财富分配缩小贫富差距,收入分配制度固然重要，但在贫富差距中并不起决定性作用。直接获取各种资产，以及资产的增值、贬值远比通过收入分配所造成的贫富差距要大得多。例如，廉价获得国有矿山的开采权，由此形成的差距并非收入分配造成的
你知道住在3D打印的房子里是啥感觉吗？,和普通房子没什么区别，唯一的“反常”就是没窗户，且空调外机只能放在外面的地上。“基本没什么区别，只是房间没有窗户有时候会很闷热，墙面凹凸不平不能挂东西有点麻烦，另外，因为墙是空心的不能装淋浴设备，夏天洗澡成了问题。”
宋鲁郑：金正恩不是赢家,张成泽被清洗后，金正恩似乎乾纲独断，彻底摆脱了所谓顾命大臣的影响。权力牢不可破，事实并非如此。如此匆忙将张成泽处死，说明金正恩的统治并不稳固。一个如此高级别的官员却有着如此阴暗一面，打击的自然是朝鲜劳动党及金氏家族的形象…
一多：移民“后遗症”——以加拿大为例,移民之后，就好像做了换肾手术，需要终生服药抑制排异反应。拿到移民门票，跨过那道门槛儿，不是完事大吉了，而是有无数后遗症等着你。习惯了这山看着那山高的人们，对面山头上的人儿真的不比你幸福更多，那里的美好多半是你心中的海市蜃楼
半娱乐化的“芮成钢被查”,芮成钢被查，只有少部分粉丝对他带有悲情主义色彩的跌宕人生表示了同情和惋惜，大部分人则表现出“早知道会这样”的态度。新闻记者虽然被称为“无冕之王”，但是面对市场化的压力，和不断袭来的权钱转换的诱惑，已经有众多的媒体人没有守住本分。
《经济半小时》20130502危险的GPS,前不久，国家质检总局对全国81家企业的汽车GPS导航产品进行了抽查，发现有12个批次不合格。其中最主要的不合格原因就是辐射超标，电磁辐射是糖尿病、孕妇流产、癌突变的主要诱因，会对人体生殖系统、神经系统和免疫系统造成伤害。
殴打新兵案曝光之后更要阳光处置,这是一条前所未见的丑闻，这也是一次前所未有的公开。目前，乌海市乌达区消防二中队发生的殴打新兵事件，已然“造成恶劣影响”，但是否达到“虐待部属案”的立案标准，还有待军内的相关部门依法行使司法权，还当事新兵一个公道，还民众一个真相。
茅台放低身段突围:告别批条时代动员全体职工卖酒,近日，有业内人士向记者透露，茅台现在已经动员全部职工卖酒。依靠关系拿条子买茅台的日子已经过去。由于此前贵州茅台对公务消费依赖过重，限制三公消费对其影响较大。在高库存及终端价格下滑压力下，茅台2013年第一、二季度业绩表现黯淡。
永安百货抢金链案90小时告破,12月24日晚，南京路步行街永安百货黄金柜台，一根重70多克的金手链被抢。90多个小时后，嫌犯肖某被捕。据他交代，为了给信用卡还款才心生歹念。他平时嗜赌，已经向银行借了20万元。此次金链换来的14700元赃款又输个精光。目前，肖某已被刑拘。
大盘探底回升逾8亿元大单资金抄底三大板块,昨日沪深两市窄幅波动，震荡攀升。分析人士指出，各大银行对房贷政策的说明，让市场短期悲观情绪得以缓解，大盘出现企稳迹象，盘中表现突出的黄金、新能源汽车、石油改革等三板块的大单资金净流入达8.46亿元，惊现资金抄底迹象。
新华调查：内蒙古3厅官贪腐“三怪”,内蒙古自治区政府原副秘书长、法制办主任武志忠把一间房子装修成佛堂，供奉着近百佛龛、佛像、佛画。他把念经拜佛当做每天的必修课。然而，令人意外的是，在供奉佛像的柜子下面，武志忠竟然又摆放近百张淫秽色情光盘！
复旦就曹操家族DNA研究答网民问回应三大质疑,①质疑一：凭什么100%确定曹操家族基因？回应：基因类型非常罕见，假冒的可能性只有千万分之三。②质疑二：为什么是“曹操”？回应：比追寻诸葛亮或者路人甲要容易得多。③质疑三：学术意义何在？回应：证明了一种跨学科研究的优势和突破。
“接雨气”也是种接地气,近日，习近平在考察武汉新港时，雨下得很大，积水没过了脚面。他卷起裤腿，自己打着雨伞，向工作人员了解物流等情况。裤脚卷起的随意，以及被雨淋湿的衣裳，少了份国家领导人的讲究，更多了些基层干部接地气的那种味道。
H7N9禽流感已致13人死亡疫苗最快6个月上市,截至4月14日晚间，全国共报告60例H7N9禽流感确诊病例，其中上海24人感染，江苏16人感染，浙江15人感染，安徽2人感染，北京1人感染，河南2人感染。60例感染病例中，死亡13人。国家卫生和计划生育委员会表示，疫苗最快6-8个月研发出来
米歇尔用“软调节”展开公共外交,美国第一夫人首次访华无疑是向世界传达美国对中国重视的信息，反应出共同期盼加强两国关系的愿望。第一夫人外交虽然只是正式外交途径的一种补充，却能充分显示双方对两国关系的高度重视，凸显了美国开展公共外交的新手段和柔性外交的作用。
南方报业传媒集团旗下媒体,他们与乔布斯唯一的不同，是用重复的语言咒骂一个人，24小时无休；或者在网上喋喋不休布道自己的商业模式，像《盗梦空间》里的造梦师一样，通宵达旦。《福布斯》说，在美国企业界，已经找不到人厚颜到将自己与乔布斯比较了，要找到疯到这种程度的人，你必须去中国。
财政部数据显示今年前7月财政为民生花近万亿,1—7月，全国财政社会保障和就业累计支出9653.6亿元，比去年同期增长12.6%。今年截至7月底，中央财政已拨付企业职工基本养老保险补助资金2576.16亿元，新型农村和城镇居民社会养老保险补助资金750亿元，就业补助资金430.46亿元。
知音教父：3万起家造10亿王国,29年以来，依靠最初的3万元，知音传媒集团董事长胡勋璧打造出了一个“传媒王国”。如今，他以一种出人意料的方式谢幕。8月28日，因涉“裸官”问题，60岁的胡勋璧，被免去董事长职务。回溯过去的岁月，在取得巨大成功的同时，胡勋璧其人充满争议。
李昕：转型推动企业持续发展,11月21日，华润双鹤总裁李昕在《证券日报》举办的第十届中国证券市场年会上表示，外部环境和内部环境变化都对医药行业的发展产生了压力，整个行业的增速在下滑。李昕看来，华润双鹤转型主要在两个方面，一是营销模式转型；二是企业产品结构调整。
林书友：伊拉克民主了，但要亡国了,“我们感觉不到有个国家在那里保护我们，爱我们，”28岁的阿尔坎·侯赛因说。“我们每一个人都忘记了自己的国家，开始想着自己的部落和宗派。”而这些纷扰至少要追溯到一个英国女人，她曾写道：“我在办公室愉快地划出了伊拉克南部沙漠的边界线。”
